timestamp,user,action,description,protocol,url,method,source_ip,dest_ip,dest_domain,client_ip,source_port,dest_port,severity,host,rule_name,app,category,bytes_sent,bytes_received,threat_id,user_agent,eventid,workstation,privilege,object,accessmask,target,status,reason,process,parentprocess,fileaccessed,alert,machine,os,details,resource,location,facility,code,message,event,file,verdict,log_type,domain,context,llm_output,threat_level,explanation
2025-05-26T13:22:35,samir.shaheen,PASSWORD_CHANGE,Déclenchement d’une règle UEBA pour trafic inhabituel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mail,,2025-05-26T13:22:35 | samir.shaheen | PASSWORD_CHANGE | Déclenchement d’une règle UEBA pour trafic inhabituel,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-06-01T12:37:11,rima.bashir,file_created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-192.168.1.170,macOS Catalina,"file_path=""C:\\Users\\rima.bashir\\AppData\\Temp\\malware.csv"" description=""File created""",,,,,,,,,user,,2025-06-01T12:37:11 | rima.bashir | file_created | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T22:48:58,omar.salem,,,FTP,,,,,,,,,Low,PC-Basim,,,,,,,,,,,,,,Blocked,AccessDenied,powershell.exe,services.exe,C:\Users\omar\Desktop\payload.exe,Malware Detected,,,,,,,,,,,,edr,,2025-05-26T22:48:58 | omar.salem | nan | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T10:52:48,,allow,,tcp,https://ph1sh-now-login.com/login,,192.168.1.13,,ph1sh-now-login.com,,12785.0,993.0,,,Allow-IMAPS,imaps,email,3321.0,4711.0,26967.0,"""Googlebot/2.1 (+http://www.google.com/bot.html)""",,,,,,,,,,,,,,,,,,,,,,,,firewall,,2025-05-26T10:52:48 | nan | allow | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T17:10:55,younes.abdullah,,Fichier exécutable détecté,,http://10.0.1.45/api/info,GET,,,,10.10.12.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy,,2025-05-26T17:10:55 | younes.abdullah | nan | Fichier exécutable détecté,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T09:44:37,kareem.zidan,,,SMB,,,,,,,,,Low,PC-Khalifa,,,,,,,,,,,,,,Failed,AccessDenied,cmd.exe,winlogon.exe,C:\Users\kareem\Music\song.mp3,Unauthorized Access Attempt,,,,,,,,,,,,edr,,2025-05-26T09:44:37 | kareem.zidan | nan | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T16:50:12,ahmed.alsayed,,Accès détecté en dehors des heures ouvrables,,https://github.com/um6p/internship2025,POST,,,,10.10.12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy,github.com,2025-05-26T16:50:12 | ahmed.alsayed | nan | Accès détecté en dehors des heures ouvrables,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T11:37:47,jamal.alfaraj,SPAM_FILTER_UPDATED,Réception d’un email de mise à jour logicielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mail,,2025-05-26T11:37:47 | jamal.alfaraj | SPAM_FILTER_UPDATED | Réception d’un email de mise à jour logicielle,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-06-01T11:44:58,omar.salem,email_sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-192.168.1.56,Windows Server 2022,"email_subject=""Monthly report"" recipient=""boss@um6p-password-reset.net"" description=""User sent email""",,,,,,,,,user,,2025-06-01T11:44:58 | omar.salem | email_sent | nan,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
2025-05-26T13:38:24,hala.sharif,,Connexion sans User-Agent détectée,,http://spoofed-mail.com/open,GET,,,,10.10.12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proxy,spoofed-mail.com,2025-05-26T13:38:24 | hala.sharif | nan | Connexion sans User-Agent détectée,"ERROR: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}",,
